,index,x,y,file
62407,0,8640.03,10725.6,28.1_BLEO_1000_1.txt
62408,1,9559.44,7203.89,28.1_BLEO_1000_1.txt
62409,2,8630.88,10722.9,28.1_BLEO_1000_1.txt
62410,3,2385.86,8274.19,28.1_BLEO_1000_1.txt
62411,4,7631.18,13709.7,28.1_BLEO_1000_1.txt
62412,5,16974.4,8052.54,28.1_BLEO_1000_1.txt
62413,6,6678.74,9629.25,28.1_BLEO_1000_1.txt
62414,7,16966.3,8051.56,28.1_BLEO_1000_1.txt
62415,8,7051.04,13998.2,28.1_BLEO_1000_1.txt
62416,9,6678.01,9632.94,28.1_BLEO_1000_1.txt
62417,10,7574.75,9117.39,28.1_BLEO_1000_1.txt
62418,11,10728.3,8615.84,28.1_BLEO_1000_1.txt
62419,12,20403.0,4820.0,28.1_BLEO_1000_1.txt
62420,13,13133.3,14276.5,28.1_BLEO_1000_1.txt
62421,14,10725.6,8637.56,28.1_BLEO_1000_1.txt
62422,15,5731.94,13578.5,28.1_BLEO_1000_1.txt
62423,16,21451.0,5454.99,28.1_BLEO_1000_1.txt
62424,17,13111.4,14293.5,28.1_BLEO_1000_1.txt
62425,18,20390.0,4826.7,28.1_BLEO_1000_1.txt
62426,19,10720.5,8643.04,28.1_BLEO_1000_1.txt
62427,20,20394.0,4814.12,28.1_BLEO_1000_1.txt
62428,21,21431.2,5460.55,28.1_BLEO_1000_1.txt
62429,22,4873.51,4238.85,28.1_BLEO_1000_1.txt
62430,23,12517.0,14796.6,28.1_BLEO_1000_1.txt
62431,24,535.457,13737.9,28.1_BLEO_1000_1.txt
62432,25,12522.7,14807.9,28.1_BLEO_1000_1.txt
62433,26,10729.9,8627.68,28.1_BLEO_1000_1.txt
62434,27,11341.3,10379.8,28.1_BLEO_1000_1.txt
62435,28,522.135,13746.0,28.1_BLEO_1000_1.txt
62436,29,12516.4,14819.3,28.1_BLEO_1000_1.txt
62437,30,4330.56,2471.9,28.1_BLEO_1000_1.txt
62438,31,12524.7,14820.7,28.1_BLEO_1000_1.txt
62439,32,525.4,13749.1,28.1_BLEO_1000_1.txt
62440,33,11369.5,11654.9,28.1_BLEO_1000_1.txt
62441,34,4331.56,2457.41,28.1_BLEO_1000_1.txt
62442,35,10469.3,5705.96,28.1_BLEO_1000_1.txt
62443,36,11328.4,10387.4,28.1_BLEO_1000_1.txt
62444,37,22549.6,676.87,28.1_BLEO_1000_1.txt
62445,38,4334.65,2458.31,28.1_BLEO_1000_1.txt
62446,39,532.158,13730.2,28.1_BLEO_1000_1.txt
62447,40,12522.5,14828.1,28.1_BLEO_1000_1.txt
62448,41,9118.47,5468.09,28.1_BLEO_1000_1.txt
62449,42,4328.64,2454.11,28.1_BLEO_1000_1.txt
62450,43,15889.2,14901.6,28.1_BLEO_1000_1.txt
62451,44,14860.3,9775.14,28.1_BLEO_1000_1.txt
62452,45,14907.3,12658.9,28.1_BLEO_1000_1.txt
62453,46,14687.9,15724.9,28.1_BLEO_1000_1.txt
62454,47,12514.3,14730.9,28.1_BLEO_1000_1.txt
62455,48,15417.1,15139.0,28.1_BLEO_1000_1.txt
62456,49,12521.5,14712.7,28.1_BLEO_1000_1.txt
62457,50,15409.4,15140.6,28.1_BLEO_1000_1.txt
62458,51,15435.2,15125.7,28.1_BLEO_1000_1.txt
62459,52,13191.5,7287.56,28.1_BLEO_1000_1.txt
62460,53,15421.9,15147.4,28.1_BLEO_1000_1.txt
62461,54,15672.8,8656.94,28.1_BLEO_1000_1.txt
62462,55,13183.3,7273.09,28.1_BLEO_1000_1.txt
62463,56,12224.8,5992.59,28.1_BLEO_1000_1.txt
62464,57,13189.2,7276.71,28.1_BLEO_1000_1.txt
62465,58,5113.78,9425.79,28.1_BLEO_1000_1.txt
62466,59,10194.6,7334.28,28.1_BLEO_1000_1.txt
62467,60,10908.3,6054.48,28.1_BLEO_1000_1.txt
62468,61,17727.8,4206.26,28.1_BLEO_1000_1.txt
62469,62,13190.6,7279.32,28.1_BLEO_1000_1.txt
62470,63,7709.62,18474.2,28.1_BLEO_1000_1.txt
62471,64,9748.07,5174.92,28.1_BLEO_1000_1.txt
62472,65,5133.27,9430.56,28.1_BLEO_1000_1.txt
62473,66,2337.65,10857.0,28.1_BLEO_1000_1.txt
62474,67,17757.6,4198.58,28.1_BLEO_1000_1.txt
62475,68,19785.7,18091.4,28.1_BLEO_1000_1.txt
62476,69,13190.7,7284.62,28.1_BLEO_1000_1.txt
62477,70,5931.68,12146.4,28.1_BLEO_1000_1.txt
62478,71,9751.29,5198.43,28.1_BLEO_1000_1.txt
62479,72,17412.7,15144.4,28.1_BLEO_1000_1.txt
62480,73,5127.66,9416.29,28.1_BLEO_1000_1.txt
62481,74,7715.12,18473.3,28.1_BLEO_1000_1.txt
62482,75,2337.52,10876.7,28.1_BLEO_1000_1.txt
62483,76,6269.1,7277.16,28.1_BLEO_1000_1.txt
62484,77,13196.8,7286.15,28.1_BLEO_1000_1.txt
62485,78,17400.5,15142.7,28.1_BLEO_1000_1.txt
62486,79,9765.87,5186.61,28.1_BLEO_1000_1.txt
62487,80,6856.33,14036.6,28.1_BLEO_1000_1.txt
62488,81,7116.43,14223.9,28.1_BLEO_1000_1.txt
62489,82,10829.3,5319.52,28.1_BLEO_1000_1.txt
62490,83,9740.12,5188.63,28.1_BLEO_1000_1.txt
62491,84,18232.2,5647.78,28.1_BLEO_1000_1.txt
