,index,x,y,file
163898,0,4180.15,7466.08,28.1_BLEO_1000_3.txt
163899,1,5057.86,7030.97,28.1_BLEO_1000_3.txt
163900,2,5028.04,18525.2,28.1_BLEO_1000_3.txt
163901,3,11155.6,13612.6,28.1_BLEO_1000_3.txt
163902,4,3377.18,19549.9,28.1_BLEO_1000_3.txt
163903,5,13445.1,7915.7,28.1_BLEO_1000_3.txt
163904,6,5048.13,15031.7,28.1_BLEO_1000_3.txt
163905,7,1298.56,19167.2,28.1_BLEO_1000_3.txt
163906,8,5040.08,15028.7,28.1_BLEO_1000_3.txt
163907,9,3980.15,7159.78,28.1_BLEO_1000_3.txt
163908,10,8861.1,7165.33,28.1_BLEO_1000_3.txt
163909,11,13452.6,7915.2,28.1_BLEO_1000_3.txt
163910,12,6453.0,3063.35,28.1_BLEO_1000_3.txt
163911,13,3371.97,19550.8,28.1_BLEO_1000_3.txt
163912,14,11165.0,13602.8,28.1_BLEO_1000_3.txt
163913,15,5322.79,7850.9,28.1_BLEO_1000_3.txt
163914,16,4932.15,9157.89,28.1_BLEO_1000_3.txt
163915,17,6665.06,9256.3,28.1_BLEO_1000_3.txt
163916,18,3378.46,19547.2,28.1_BLEO_1000_3.txt
163917,19,3992.15,7155.85,28.1_BLEO_1000_3.txt
163918,20,4038.15,5421.83,28.1_BLEO_1000_3.txt
163919,21,13455.4,7914.5,28.1_BLEO_1000_3.txt
163920,22,6334.61,8591.79,28.1_BLEO_1000_3.txt
163921,23,12294.9,13144.7,28.1_BLEO_1000_3.txt
163922,24,8088.3,9646.53,28.1_BLEO_1000_3.txt
163923,25,14931.2,939.346,28.1_BLEO_1000_3.txt
163924,26,11149.2,13616.5,28.1_BLEO_1000_3.txt
163925,27,8861.06,7183.64,28.1_BLEO_1000_3.txt
163926,28,3999.89,7175.89,28.1_BLEO_1000_3.txt
163927,29,4706.34,15168.4,28.1_BLEO_1000_3.txt
163928,30,4449.9,9431.94,28.1_BLEO_1000_3.txt
163929,31,5.62,16720.1,28.1_BLEO_1000_3.txt
163930,32,13457.0,7910.59,28.1_BLEO_1000_3.txt
163931,33,665.504,10676.6,28.1_BLEO_1000_3.txt
163932,34,14934.5,929.991,28.1_BLEO_1000_3.txt
163933,35,15811.6,9565.97,28.1_BLEO_1000_3.txt
163934,36,10022.8,10209.9,28.1_BLEO_1000_3.txt
163935,37,11165.9,13607.0,28.1_BLEO_1000_3.txt
163936,38,12741.1,14271.8,28.1_BLEO_1000_3.txt
163937,39,3381.77,19550.7,28.1_BLEO_1000_3.txt
163938,40,3381.75,19543.3,28.1_BLEO_1000_3.txt
163939,41,8183.9,7508.52,28.1_BLEO_1000_3.txt
163940,42,14934.7,935.346,28.1_BLEO_1000_3.txt
163941,43,7210.27,3498.47,28.1_BLEO_1000_3.txt
163942,44,6300.81,3272.0,28.1_BLEO_1000_3.txt
163943,45,683.741,10688.9,28.1_BLEO_1000_3.txt
163944,46,15813.2,9559.95,28.1_BLEO_1000_3.txt
163945,47,3988.65,7161.39,28.1_BLEO_1000_3.txt
163946,48,5892.27,12379.8,28.1_BLEO_1000_3.txt
163947,49,13337.3,7874.66,28.1_BLEO_1000_3.txt
163948,50,1741.98,17699.6,28.1_BLEO_1000_3.txt
163949,51,10040.1,10212.4,28.1_BLEO_1000_3.txt
163950,52,4406.19,5425.94,28.1_BLEO_1000_3.txt
163951,53,4713.8,15157.5,28.1_BLEO_1000_3.txt
163952,54,346.48,14113.2,28.1_BLEO_1000_3.txt
163953,55,0.0105511,16713.3,28.1_BLEO_1000_3.txt
163954,56,12708.3,14238.3,28.1_BLEO_1000_3.txt
163955,57,4388.82,5418.55,28.1_BLEO_1000_3.txt
163956,58,10043.8,10213.4,28.1_BLEO_1000_3.txt
163957,59,13336.0,7863.09,28.1_BLEO_1000_3.txt
163958,60,7197.4,3473.94,28.1_BLEO_1000_3.txt
163959,61,14931.5,939.174,28.1_BLEO_1000_3.txt
163960,62,15801.5,9557.97,28.1_BLEO_1000_3.txt
163961,63,3392.16,19550.2,28.1_BLEO_1000_3.txt
163962,64,1729.26,5803.52,28.1_BLEO_1000_3.txt
163963,65,5216.78,4583.79,28.1_BLEO_1000_3.txt
163964,66,15976.7,11722.0,28.1_BLEO_1000_3.txt
163965,67,4239.86,5414.62,28.1_BLEO_1000_3.txt
163966,68,3815.0,14778.0,28.1_BLEO_1000_3.txt
163967,69,3388.96,19549.3,28.1_BLEO_1000_3.txt
