,index,x,y,file
1150773,0,4704.61,4722.97,28.2_NU+VE_ST_1.txt
1150774,1,7269.99,4148.42,28.2_NU+VE_ST_1.txt
1150775,2,4699.76,4706.32,28.2_NU+VE_ST_1.txt
1150776,3,5909.17,12786.6,28.2_NU+VE_ST_1.txt
1150777,4,6620.73,4282.98,28.2_NU+VE_ST_1.txt
1150778,5,477.536,4888.49,28.2_NU+VE_ST_1.txt
1150779,6,6285.1,9189.61,28.2_NU+VE_ST_1.txt
1150780,7,6294.37,9174.66,28.2_NU+VE_ST_1.txt
1150781,8,4922.74,1284.32,28.2_NU+VE_ST_1.txt
1150782,9,4921.71,1280.79,28.2_NU+VE_ST_1.txt
1150783,10,7008.63,8932.93,28.2_NU+VE_ST_1.txt
1150784,11,5557.69,3250.4,28.2_NU+VE_ST_1.txt
1150785,12,7688.58,4063.84,28.2_NU+VE_ST_1.txt
1150786,13,2024.01,10869.5,28.2_NU+VE_ST_1.txt
1150787,14,2018.15,10852.5,28.2_NU+VE_ST_1.txt
1150788,15,2260.35,14161.0,28.2_NU+VE_ST_1.txt
1150789,16,6611.9,13527.0,28.2_NU+VE_ST_1.txt
1150790,17,4526.19,18724.9,28.2_NU+VE_ST_1.txt
1150791,18,6319.71,4169.02,28.2_NU+VE_ST_1.txt
1150792,19,8643.55,13097.4,28.2_NU+VE_ST_1.txt
1150793,20,6316.04,4172.52,28.2_NU+VE_ST_1.txt
1150794,21,2091.53,11319.5,28.2_NU+VE_ST_1.txt
1150795,22,4518.84,5054.53,28.2_NU+VE_ST_1.txt
1150796,23,5244.65,11766.1,28.2_NU+VE_ST_1.txt
1150797,24,9348.56,5124.66,28.2_NU+VE_ST_1.txt
1150798,25,5011.14,7123.67,28.2_NU+VE_ST_1.txt
1150799,26,10720.9,5463.28,28.2_NU+VE_ST_1.txt
1150800,27,11954.0,6318.28,28.2_NU+VE_ST_1.txt
1150801,28,5003.72,7119.55,28.2_NU+VE_ST_1.txt
1150802,29,9350.33,5131.17,28.2_NU+VE_ST_1.txt
1150803,30,15158.6,17624.4,28.2_NU+VE_ST_1.txt
1150804,31,9586.81,15645.9,28.2_NU+VE_ST_1.txt
1150805,32,4493.71,8070.46,28.2_NU+VE_ST_1.txt
1150806,33,4845.09,6109.32,28.2_NU+VE_ST_1.txt
1150807,34,4856.07,6117.28,28.2_NU+VE_ST_1.txt
1150808,35,7352.37,9063.87,28.2_NU+VE_ST_1.txt
1150809,36,6244.15,4663.48,28.2_NU+VE_ST_1.txt
1150810,37,4844.04,6120.17,28.2_NU+VE_ST_1.txt
1150811,38,4847.19,6121.17,28.2_NU+VE_ST_1.txt
1150812,39,4615.82,8536.05,28.2_NU+VE_ST_1.txt
1150813,40,15169.6,17614.3,28.2_NU+VE_ST_1.txt
1150814,41,5277.94,4882.76,28.2_NU+VE_ST_1.txt
