,index,x,y,file
1842767,0,9389.5,6299.85,30_1_3_ihn_ST.txt
1842768,1,9389.28,6289.62,30_1_3_ihn_ST.txt
1842769,2,14214.4,16310.1,30_1_3_ihn_ST.txt
1842770,3,14216.5,16316.4,30_1_3_ihn_ST.txt
1842771,4,9132.31,5079.73,30_1_3_ihn_ST.txt
1842772,5,5164.24,4795.09,30_1_3_ihn_ST.txt
1842773,6,5164.51,4793.39,30_1_3_ihn_ST.txt
1842774,7,6559.9,5112.85,30_1_3_ihn_ST.txt
1842775,8,10107.7,3705.7,30_1_3_ihn_ST.txt
1842776,9,4744.59,13884.1,30_1_3_ihn_ST.txt
1842777,10,12865.6,8836.26,30_1_3_ihn_ST.txt
1842778,11,12871.8,8828.89,30_1_3_ihn_ST.txt
1842779,12,13822.8,11712.9,30_1_3_ihn_ST.txt
1842780,13,13810.5,11721.5,30_1_3_ihn_ST.txt
1842781,14,8160.13,16596.3,30_1_3_ihn_ST.txt
1842782,15,13814.3,11733.7,30_1_3_ihn_ST.txt
1842783,16,13819.3,11736.9,30_1_3_ihn_ST.txt
1842784,17,6335.86,6986.77,30_1_3_ihn_ST.txt
1842785,18,12393.3,18455.7,30_1_3_ihn_ST.txt
1842786,19,8564.84,9262.42,30_1_3_ihn_ST.txt
1842787,20,12403.5,18454.6,30_1_3_ihn_ST.txt
1842788,21,10519.4,11214.8,30_1_3_ihn_ST.txt
1842789,22,6335.38,6994.91,30_1_3_ihn_ST.txt
1842790,23,9121.48,4267.14,30_1_3_ihn_ST.txt
1842791,24,10505.7,11223.8,30_1_3_ihn_ST.txt
1842792,25,8574.58,9263.14,30_1_3_ihn_ST.txt
1842793,26,7440.29,2957.37,30_1_3_ihn_ST.txt
1842794,27,15027.1,12224.2,30_1_3_ihn_ST.txt
1842795,28,3743.79,8931.65,30_1_3_ihn_ST.txt
1842796,29,16081.2,15309.4,30_1_3_ihn_ST.txt
1842797,30,10698.1,5212.89,30_1_3_ihn_ST.txt
1842798,31,10694.1,5221.32,30_1_3_ihn_ST.txt
1842799,32,3752.37,8927.58,30_1_3_ihn_ST.txt
1842800,33,8748.91,12750.9,30_1_3_ihn_ST.txt
1842801,34,14264.0,11833.4,30_1_3_ihn_ST.txt
1842802,35,3569.04,12903.0,30_1_3_ihn_ST.txt
1842803,36,14271.6,11821.7,30_1_3_ihn_ST.txt
1842804,37,5081.87,12067.9,30_1_3_ihn_ST.txt
1842805,38,5085.7,12075.5,30_1_3_ihn_ST.txt
1842806,39,5324.17,13111.0,30_1_3_ihn_ST.txt
1842807,40,4045.14,7060.94,30_1_3_ihn_ST.txt
1842808,41,5482.93,14783.9,30_1_3_ihn_ST.txt
1842809,42,5482.37,14781.6,30_1_3_ihn_ST.txt
1842810,43,10789.8,3821.23,30_1_3_ihn_ST.txt
1842811,44,10782.1,3814.46,30_1_3_ihn_ST.txt
1842812,45,10579.8,3590.68,30_1_3_ihn_ST.txt
1842813,46,3997.77,8650.68,30_1_3_ihn_ST.txt
1842814,47,5606.74,7195.89,30_1_3_ihn_ST.txt
1842815,48,4010.7,8347.8,30_1_3_ihn_ST.txt
1842816,49,10027.5,6723.36,30_1_3_ihn_ST.txt
1842817,50,2319.52,9199.7,30_1_3_ihn_ST.txt
1842818,51,14405.1,4351.33,30_1_3_ihn_ST.txt
1842819,52,10018.4,6727.9,30_1_3_ihn_ST.txt
1842820,53,7663.45,3441.89,30_1_3_ihn_ST.txt
1842821,54,11120.5,9989.04,30_1_3_ihn_ST.txt
1842822,55,9835.76,9924.46,30_1_3_ihn_ST.txt
1842823,56,11123.8,9988.31,30_1_3_ihn_ST.txt
1842824,57,6765.99,5785.78,30_1_3_ihn_ST.txt
1842825,58,9835.63,9925.22,30_1_3_ihn_ST.txt
1842826,59,9770.48,5143.23,30_1_3_ihn_ST.txt
1842827,60,11118.7,9989.93,30_1_3_ihn_ST.txt
1842828,61,9846.65,9915.38,30_1_3_ihn_ST.txt
1842829,62,11128.1,9993.25,30_1_3_ihn_ST.txt
1842830,63,11134.6,9969.66,30_1_3_ihn_ST.txt
1842831,64,10827.3,8603.31,30_1_3_ihn_ST.txt
1842832,65,6634.71,15819.5,30_1_3_ihn_ST.txt
1842833,66,11959.4,11225.4,30_1_3_ihn_ST.txt
1842834,67,6634.81,15809.3,30_1_3_ihn_ST.txt
1842835,68,11964.0,11234.0,30_1_3_ihn_ST.txt
1842836,69,4013.87,8332.04,30_1_3_ihn_ST.txt
1842837,70,11962.6,11231.0,30_1_3_ihn_ST.txt
1842838,71,9849.27,9930.1,30_1_3_ihn_ST.txt
1842839,72,13894.3,11639.0,30_1_3_ihn_ST.txt
1842840,73,11967.6,11229.8,30_1_3_ihn_ST.txt
1842841,74,12945.6,10726.8,30_1_3_ihn_ST.txt
1842842,75,14353.8,4345.21,30_1_3_ihn_ST.txt
1842843,76,14351.8,4338.66,30_1_3_ihn_ST.txt
1842844,77,14347.0,4351.62,30_1_3_ihn_ST.txt
1842845,78,6150.09,14143.1,30_1_3_ihn_ST.txt
1842846,79,7560.44,12668.0,30_1_3_ihn_ST.txt
1842847,80,6500.8,8139.35,30_1_3_ihn_ST.txt
1842848,81,18671.6,12824.2,30_1_3_ihn_ST.txt
1842849,82,18678.4,12836.7,30_1_3_ihn_ST.txt
1842850,83,15926.1,16696.5,30_1_3_ihn_ST.txt
1842851,84,18670.9,12845.8,30_1_3_ihn_ST.txt
1842852,85,8189.76,13125.2,30_1_3_ihn_ST.txt
1842853,86,9817.1,8485.9,30_1_3_ihn_ST.txt
1842854,87,18664.0,12831.9,30_1_3_ihn_ST.txt
1842855,88,15923.6,16680.3,30_1_3_ihn_ST.txt
1842856,89,9069.47,4105.32,30_1_3_ihn_ST.txt
1842857,90,5085.4,10783.5,30_1_3_ihn_ST.txt
1842858,91,6873.75,5368.31,30_1_3_ihn_ST.txt
1842859,92,9387.03,9176.5,30_1_3_ihn_ST.txt
1842860,93,12177.5,5158.47,30_1_3_ihn_ST.txt
1842861,94,9077.25,4134.37,30_1_3_ihn_ST.txt
1842862,95,6095.56,14732.1,30_1_3_ihn_ST.txt
1842863,96,6567.45,5067.43,30_1_3_ihn_ST.txt
1842864,97,6095.58,14731.1,30_1_3_ihn_ST.txt
1842865,98,6576.2,5045.36,30_1_3_ihn_ST.txt
1842866,99,12913.9,6583.74,30_1_3_ihn_ST.txt
1842867,100,12925.7,6585.96,30_1_3_ihn_ST.txt
1842868,101,9092.25,2520.76,30_1_3_ihn_ST.txt
1842869,102,10771.3,6653.0,30_1_3_ihn_ST.txt
1842870,103,9246.98,4232.66,30_1_3_ihn_ST.txt
1842871,104,4014.08,8801.08,30_1_3_ihn_ST.txt
1842872,105,8218.51,5141.98,30_1_3_ihn_ST.txt
1842873,106,7052.44,5638.98,30_1_3_ihn_ST.txt
1842874,107,3995.3,8767.73,30_1_3_ihn_ST.txt
1842875,108,4171.73,6069.68,30_1_3_ihn_ST.txt
1842876,109,9099.68,4214.19,30_1_3_ihn_ST.txt
1842877,110,9104.12,4217.62,30_1_3_ihn_ST.txt
1842878,111,8557.72,9266.38,30_1_3_ihn_ST.txt
1842879,112,9105.02,4210.39,30_1_3_ihn_ST.txt
1842880,113,16909.7,7830.98,30_1_3_ihn_ST.txt
1842881,114,10636.5,11638.1,30_1_3_ihn_ST.txt
1842882,115,16920.9,7830.48,30_1_3_ihn_ST.txt
1842883,116,7230.86,13680.8,30_1_3_ihn_ST.txt
1842884,117,8165.72,16592.2,30_1_3_ihn_ST.txt
1842885,118,1419.04,1635.91,30_1_3_ihn_ST.txt
1842886,119,3737.23,8855.44,30_1_3_ihn_ST.txt
1842887,120,10934.7,10133.3,30_1_3_ihn_ST.txt
1842888,121,14990.9,5743.97,30_1_3_ihn_ST.txt
1842889,122,10937.0,10132.2,30_1_3_ihn_ST.txt
1842890,123,9076.75,4102.18,30_1_3_ihn_ST.txt
1842891,124,13829.2,11743.0,30_1_3_ihn_ST.txt
1842892,125,13834.5,11722.9,30_1_3_ihn_ST.txt
1842893,126,5910.9,4903.35,30_1_3_ihn_ST.txt
1842894,127,9163.99,4241.8,30_1_3_ihn_ST.txt
1842895,128,14608.2,6513.21,30_1_3_ihn_ST.txt
1842896,129,14608.6,6513.61,30_1_3_ihn_ST.txt
1842897,130,14617.1,6510.02,30_1_3_ihn_ST.txt
1842898,131,14611.9,6499.99,30_1_3_ihn_ST.txt
1842899,132,285.268,12666.2,30_1_3_ihn_ST.txt
1842900,133,14602.5,6511.41,30_1_3_ihn_ST.txt
1842901,134,14617.0,6514.57,30_1_3_ihn_ST.txt
1842902,135,14603.1,6506.04,30_1_3_ihn_ST.txt
1842903,136,14606.8,6509.39,30_1_3_ihn_ST.txt
1842904,137,14609.3,6515.48,30_1_3_ihn_ST.txt
1842905,138,11832.3,4484.46,30_1_3_ihn_ST.txt
1842906,139,14613.2,6517.91,30_1_3_ihn_ST.txt
1842907,140,8156.42,16590.9,30_1_3_ihn_ST.txt
1842908,141,9136.67,13041.0,30_1_3_ihn_ST.txt
1842909,142,9150.53,13049.8,30_1_3_ihn_ST.txt
1842910,143,9156.25,13787.9,30_1_3_ihn_ST.txt
1842911,144,8656.86,3094.91,30_1_3_ihn_ST.txt
1842912,145,9087.92,2808.72,30_1_3_ihn_ST.txt
1842913,146,10364.4,15957.9,30_1_3_ihn_ST.txt
1842914,147,6405.96,4673.62,30_1_3_ihn_ST.txt
1842915,148,9093.26,2803.05,30_1_3_ihn_ST.txt
1842916,149,4743.1,13878.2,30_1_3_ihn_ST.txt
1842917,150,10181.3,16649.8,30_1_3_ihn_ST.txt
1842918,151,10559.6,16409.3,30_1_3_ihn_ST.txt
1842919,152,9821.67,14656.3,30_1_3_ihn_ST.txt
1842920,153,12793.9,8880.96,30_1_3_ihn_ST.txt
1842921,154,12808.1,8857.1,30_1_3_ihn_ST.txt
1842922,155,10555.3,16415.7,30_1_3_ihn_ST.txt
1842923,156,9844.63,14664.2,30_1_3_ihn_ST.txt
1842924,157,3740.65,8860.1,30_1_3_ihn_ST.txt
1842925,158,9593.03,15571.9,30_1_3_ihn_ST.txt
1842926,159,3661.01,8145.44,30_1_3_ihn_ST.txt
1842927,160,13854.1,7220.49,30_1_3_ihn_ST.txt
