,index,x,y,file
2150282,0,11009.1,4792.66,30_1_control_pri_ST.txt
2150283,1,7304.63,3904.43,30_1_control_pri_ST.txt
2150284,2,11006.7,4788.17,30_1_control_pri_ST.txt
2150285,3,10997.6,4808.09,30_1_control_pri_ST.txt
2150286,4,6399.03,14816.1,30_1_control_pri_ST.txt
2150287,5,12007.3,3481.87,30_1_control_pri_ST.txt
2150288,6,7913.23,2703.88,30_1_control_pri_ST.txt
2150289,7,12161.6,3454.03,30_1_control_pri_ST.txt
2150290,8,3965.09,10062.6,30_1_control_pri_ST.txt
2150291,9,3959.6,10054.9,30_1_control_pri_ST.txt
2150292,10,18478.1,827.657,30_1_control_pri_ST.txt
2150293,11,18471.3,832.214,30_1_control_pri_ST.txt
2150294,12,18472.0,831.543,30_1_control_pri_ST.txt
2150295,13,7269.18,2798.09,30_1_control_pri_ST.txt
2150296,14,18470.8,836.917,30_1_control_pri_ST.txt
2150297,15,18470.1,837.766,30_1_control_pri_ST.txt
2150298,16,18476.1,833.349,30_1_control_pri_ST.txt
2150299,17,9188.76,4948.43,30_1_control_pri_ST.txt
2150300,18,9034.5,14774.8,30_1_control_pri_ST.txt
2150301,19,6401.3,14800.3,30_1_control_pri_ST.txt
2150302,20,9577.41,7334.67,30_1_control_pri_ST.txt
2150303,21,11057.7,3417.24,30_1_control_pri_ST.txt
2150304,22,13224.7,4247.22,30_1_control_pri_ST.txt
2150305,23,13214.5,4245.29,30_1_control_pri_ST.txt
2150306,24,3966.6,10068.6,30_1_control_pri_ST.txt
2150307,25,3973.15,10055.6,30_1_control_pri_ST.txt
2150308,26,17985.5,11478.4,30_1_control_pri_ST.txt
2150309,27,11762.2,3805.98,30_1_control_pri_ST.txt
2150310,28,12446.9,5771.57,30_1_control_pri_ST.txt
2150311,29,2764.76,6491.56,30_1_control_pri_ST.txt
2150312,30,11934.3,6621.66,30_1_control_pri_ST.txt
2150313,31,11920.7,6608.85,30_1_control_pri_ST.txt
2150314,32,11914.0,6619.49,30_1_control_pri_ST.txt
2150315,33,12790.8,6978.18,30_1_control_pri_ST.txt
2150316,34,12787.0,6982.4,30_1_control_pri_ST.txt
2150317,35,3075.38,8484.84,30_1_control_pri_ST.txt
2150318,36,5476.85,5855.18,30_1_control_pri_ST.txt
2150319,37,5473.82,5846.03,30_1_control_pri_ST.txt
2150320,38,13892.8,10968.0,30_1_control_pri_ST.txt
2150321,39,13225.3,4252.79,30_1_control_pri_ST.txt
2150322,40,1226.35,10300.1,30_1_control_pri_ST.txt
2150323,41,8290.1,15061.4,30_1_control_pri_ST.txt
2150324,42,1210.94,10368.4,30_1_control_pri_ST.txt
2150325,43,12765.3,6955.35,30_1_control_pri_ST.txt
2150326,44,4659.39,9166.54,30_1_control_pri_ST.txt
2150327,45,3054.95,8497.5,30_1_control_pri_ST.txt
2150328,46,3070.52,8482.58,30_1_control_pri_ST.txt
2150329,47,3064.68,8455.1,30_1_control_pri_ST.txt
2150330,48,16926.9,9807.53,30_1_control_pri_ST.txt
2150331,49,6728.37,4657.25,30_1_control_pri_ST.txt
2150332,50,18310.3,2196.77,30_1_control_pri_ST.txt
2150333,51,12436.4,5771.84,30_1_control_pri_ST.txt
2150334,52,3060.84,8491.61,30_1_control_pri_ST.txt
2150335,53,3086.36,8485.46,30_1_control_pri_ST.txt
2150336,54,3072.84,8472.06,30_1_control_pri_ST.txt
2150337,55,8297.72,15042.7,30_1_control_pri_ST.txt
2150338,56,8306.3,15038.7,30_1_control_pri_ST.txt
2150339,57,4541.32,15126.7,30_1_control_pri_ST.txt
2150340,58,3080.54,8482.77,30_1_control_pri_ST.txt
2150341,59,11157.4,15205.4,30_1_control_pri_ST.txt
2150342,60,11162.1,15190.4,30_1_control_pri_ST.txt
2150343,61,9016.75,14781.4,30_1_control_pri_ST.txt
2150344,62,11770.0,3807.79,30_1_control_pri_ST.txt
2150345,63,6708.0,3124.56,30_1_control_pri_ST.txt
2150346,64,12541.8,3911.61,30_1_control_pri_ST.txt
2150347,65,12168.3,3444.89,30_1_control_pri_ST.txt
2150348,66,12156.9,3449.06,30_1_control_pri_ST.txt
2150349,67,12073.4,6816.56,30_1_control_pri_ST.txt
2150350,68,5474.71,5845.13,30_1_control_pri_ST.txt
2150351,69,3077.48,8490.87,30_1_control_pri_ST.txt
2150352,70,3077.32,8489.93,30_1_control_pri_ST.txt
2150353,71,9699.77,3220.96,30_1_control_pri_ST.txt
2150354,72,6910.88,12045.3,30_1_control_pri_ST.txt
2150355,73,10733.6,5382.26,30_1_control_pri_ST.txt
2150356,74,11757.1,3808.71,30_1_control_pri_ST.txt
2150357,75,11065.7,3430.46,30_1_control_pri_ST.txt
2150358,76,10735.9,5385.09,30_1_control_pri_ST.txt
2150359,77,276.808,9767.65,30_1_control_pri_ST.txt
