,index,x,y,file
96460,0,16485.1,13890.7,28.1_BLEO_1000_2.txt
96461,1,5450.9,7708.27,28.1_BLEO_1000_2.txt
96462,2,9038.02,4142.05,28.1_BLEO_1000_2.txt
96463,3,3666.84,8536.13,28.1_BLEO_1000_2.txt
96464,4,11917.0,5525.77,28.1_BLEO_1000_2.txt
96465,5,8958.23,6096.75,28.1_BLEO_1000_2.txt
96466,6,6948.8,3306.82,28.1_BLEO_1000_2.txt
96467,7,572.108,10291.0,28.1_BLEO_1000_2.txt
96468,8,14788.7,5035.03,28.1_BLEO_1000_2.txt
96469,9,11922.2,5500.71,28.1_BLEO_1000_2.txt
96470,10,13747.8,10460.8,28.1_BLEO_1000_2.txt
96471,11,5460.17,7708.15,28.1_BLEO_1000_2.txt
96472,12,6064.05,4230.44,28.1_BLEO_1000_2.txt
96473,13,3585.14,8939.11,28.1_BLEO_1000_2.txt
96474,14,11913.5,5518.07,28.1_BLEO_1000_2.txt
96475,15,13767.9,10480.9,28.1_BLEO_1000_2.txt
96476,16,10888.2,3980.89,28.1_BLEO_1000_2.txt
96477,17,6752.55,7365.44,28.1_BLEO_1000_2.txt
96478,18,9659.84,5079.74,28.1_BLEO_1000_2.txt
96479,19,10400.7,177.223,28.1_BLEO_1000_2.txt
96480,20,588.187,10279.9,28.1_BLEO_1000_2.txt
96481,21,3597.72,10273.1,28.1_BLEO_1000_2.txt
96482,22,11971.9,5562.89,28.1_BLEO_1000_2.txt
96483,23,3580.9,8912.93,28.1_BLEO_1000_2.txt
96484,24,6747.22,7367.82,28.1_BLEO_1000_2.txt
96485,25,10889.1,3978.92,28.1_BLEO_1000_2.txt
96486,26,5819.18,3941.79,28.1_BLEO_1000_2.txt
96487,27,11264.9,16198.3,28.1_BLEO_1000_2.txt
96488,28,3619.44,10273.8,28.1_BLEO_1000_2.txt
96489,29,13056.0,12992.1,28.1_BLEO_1000_2.txt
96490,30,1210.96,10398.9,28.1_BLEO_1000_2.txt
96491,31,16478.0,13929.7,28.1_BLEO_1000_2.txt
