,index,x,y,file
247967,0,10478.3,6591.84,28.1_BLEO_1000_control_pri.txt
247968,1,1106.57,13421.4,28.1_BLEO_1000_control_pri.txt
247969,2,10456.8,6554.63,28.1_BLEO_1000_control_pri.txt
247970,3,10464.0,6547.76,28.1_BLEO_1000_control_pri.txt
247971,4,8083.76,18643.6,28.1_BLEO_1000_control_pri.txt
247972,5,10467.3,6561.39,28.1_BLEO_1000_control_pri.txt
247973,6,10688.9,12809.8,28.1_BLEO_1000_control_pri.txt
247974,7,10459.2,6572.92,28.1_BLEO_1000_control_pri.txt
247975,8,10464.9,6582.54,28.1_BLEO_1000_control_pri.txt
247976,9,363.999,8088.42,28.1_BLEO_1000_control_pri.txt
247977,10,10473.8,6571.52,28.1_BLEO_1000_control_pri.txt
247978,11,12985.7,10493.0,28.1_BLEO_1000_control_pri.txt
247979,12,10457.9,6575.07,28.1_BLEO_1000_control_pri.txt
247980,13,407.136,8089.06,28.1_BLEO_1000_control_pri.txt
247981,14,10452.1,6553.11,28.1_BLEO_1000_control_pri.txt
247982,15,10464.8,6572.42,28.1_BLEO_1000_control_pri.txt
247983,16,10438.8,6553.17,28.1_BLEO_1000_control_pri.txt
247984,17,1662.75,6878.98,28.1_BLEO_1000_control_pri.txt
247985,18,4308.99,12130.1,28.1_BLEO_1000_control_pri.txt
247986,19,10461.3,6559.17,28.1_BLEO_1000_control_pri.txt
247987,20,0.34188,13931.1,28.1_BLEO_1000_control_pri.txt
247988,21,4280.44,12104.4,28.1_BLEO_1000_control_pri.txt
247989,22,4298.77,12131.0,28.1_BLEO_1000_control_pri.txt
247990,23,10474.8,6557.56,28.1_BLEO_1000_control_pri.txt
247991,24,15124.6,12600.4,28.1_BLEO_1000_control_pri.txt
247992,25,4308.74,12093.6,28.1_BLEO_1000_control_pri.txt
247993,26,15124.3,12604.7,28.1_BLEO_1000_control_pri.txt
247994,27,2484.82,2363.82,28.1_BLEO_1000_control_pri.txt
247995,28,698.024,12846.3,28.1_BLEO_1000_control_pri.txt
247996,29,19955.0,9173.31,28.1_BLEO_1000_control_pri.txt
247997,30,10471.7,6583.93,28.1_BLEO_1000_control_pri.txt
247998,31,690.588,12831.3,28.1_BLEO_1000_control_pri.txt
247999,32,7781.16,17529.6,28.1_BLEO_1000_control_pri.txt
248000,33,10463.0,6586.39,28.1_BLEO_1000_control_pri.txt
248001,34,2506.94,2386.37,28.1_BLEO_1000_control_pri.txt
248002,35,6808.19,12116.1,28.1_BLEO_1000_control_pri.txt
248003,36,7774.99,17535.8,28.1_BLEO_1000_control_pri.txt
248004,37,696.258,12846.3,28.1_BLEO_1000_control_pri.txt
248005,38,12653.6,17134.1,28.1_BLEO_1000_control_pri.txt
248006,39,10475.1,6569.22,28.1_BLEO_1000_control_pri.txt
248007,40,6809.86,12120.1,28.1_BLEO_1000_control_pri.txt
248008,41,9063.02,13631.7,28.1_BLEO_1000_control_pri.txt
248009,42,694.462,12847.6,28.1_BLEO_1000_control_pri.txt
248010,43,4313.86,12123.7,28.1_BLEO_1000_control_pri.txt
248011,44,6036.31,813.212,28.1_BLEO_1000_control_pri.txt
248012,45,4330.02,852.86,28.1_BLEO_1000_control_pri.txt
248013,46,10479.6,6570.64,28.1_BLEO_1000_control_pri.txt
248014,47,7845.0,8097.12,28.1_BLEO_1000_control_pri.txt
248015,48,4344.0,861.09,28.1_BLEO_1000_control_pri.txt
248016,49,4300.3,12119.1,28.1_BLEO_1000_control_pri.txt
248017,50,13770.3,719.322,28.1_BLEO_1000_control_pri.txt
248018,51,4306.86,12130.4,28.1_BLEO_1000_control_pri.txt
248019,52,4327.35,875.708,28.1_BLEO_1000_control_pri.txt
248020,53,10454.8,6537.2,28.1_BLEO_1000_control_pri.txt
248021,54,3811.44,14006.4,28.1_BLEO_1000_control_pri.txt
248022,55,7092.34,14575.7,28.1_BLEO_1000_control_pri.txt
248023,56,728.874,14598.2,28.1_BLEO_1000_control_pri.txt
248024,57,10446.0,6578.96,28.1_BLEO_1000_control_pri.txt
248025,58,20097.2,12985.4,28.1_BLEO_1000_control_pri.txt
248026,59,7137.02,14606.6,28.1_BLEO_1000_control_pri.txt
248027,60,10469.5,6569.33,28.1_BLEO_1000_control_pri.txt
248028,61,4309.24,12145.2,28.1_BLEO_1000_control_pri.txt
248029,62,23500.4,11210.0,28.1_BLEO_1000_control_pri.txt
248030,63,7458.66,15093.7,28.1_BLEO_1000_control_pri.txt
248031,64,23495.4,11212.2,28.1_BLEO_1000_control_pri.txt
248032,65,0.550159,14560.9,28.1_BLEO_1000_control_pri.txt
248033,66,19977.8,9192.57,28.1_BLEO_1000_control_pri.txt
248034,67,20090.7,12966.8,28.1_BLEO_1000_control_pri.txt
248035,68,7453.26,15119.5,28.1_BLEO_1000_control_pri.txt
248036,69,10467.9,6561.25,28.1_BLEO_1000_control_pri.txt
248037,70,4323.09,12119.4,28.1_BLEO_1000_control_pri.txt
248038,71,14465.9,12606.3,28.1_BLEO_1000_control_pri.txt
248039,72,19867.4,11545.5,28.1_BLEO_1000_control_pri.txt
248040,73,16409.0,1925.24,28.1_BLEO_1000_control_pri.txt
248041,74,0.235796,14568.0,28.1_BLEO_1000_control_pri.txt
248042,75,16396.1,1930.42,28.1_BLEO_1000_control_pri.txt
248043,76,10478.0,6558.06,28.1_BLEO_1000_control_pri.txt
248044,77,19861.5,11538.0,28.1_BLEO_1000_control_pri.txt
248045,78,16400.1,1925.22,28.1_BLEO_1000_control_pri.txt
248046,79,7361.79,19401.1,28.1_BLEO_1000_control_pri.txt
248047,80,10461.9,6555.77,28.1_BLEO_1000_control_pri.txt
248048,81,7343.92,19399.7,28.1_BLEO_1000_control_pri.txt
248049,82,10456.2,6536.41,28.1_BLEO_1000_control_pri.txt
248050,83,17037.0,9895.69,28.1_BLEO_1000_control_pri.txt
248051,84,11191.3,6251.74,28.1_BLEO_1000_control_pri.txt
248052,85,7362.29,19394.9,28.1_BLEO_1000_control_pri.txt
248053,86,19854.3,15849.6,28.1_BLEO_1000_control_pri.txt
248054,87,7355.61,19416.6,28.1_BLEO_1000_control_pri.txt
248055,88,10468.7,6567.29,28.1_BLEO_1000_control_pri.txt
248056,89,10461.1,6555.93,28.1_BLEO_1000_control_pri.txt
248057,90,10482.1,6586.99,28.1_BLEO_1000_control_pri.txt
248058,91,11197.2,6260.5,28.1_BLEO_1000_control_pri.txt
248059,92,5843.6,618.301,28.1_BLEO_1000_control_pri.txt
248060,93,7370.85,7540.98,28.1_BLEO_1000_control_pri.txt
248061,94,277.382,15030.2,28.1_BLEO_1000_control_pri.txt
248062,95,5823.93,149.962,28.1_BLEO_1000_control_pri.txt
248063,96,260.372,15027.4,28.1_BLEO_1000_control_pri.txt
248064,97,7371.14,7524.4,28.1_BLEO_1000_control_pri.txt
248065,98,9780.72,14967.1,28.1_BLEO_1000_control_pri.txt
248066,99,9415.99,4947.8,28.1_BLEO_1000_control_pri.txt
248067,100,20699.1,10204.4,28.1_BLEO_1000_control_pri.txt
248068,101,10621.3,16039.4,28.1_BLEO_1000_control_pri.txt
248069,102,8643.96,289.25,28.1_BLEO_1000_control_pri.txt
248070,103,20694.8,10205.8,28.1_BLEO_1000_control_pri.txt
248071,104,10620.5,16040.1,28.1_BLEO_1000_control_pri.txt
248072,105,8724.67,8763.42,28.1_BLEO_1000_control_pri.txt
248073,106,8624.56,299.853,28.1_BLEO_1000_control_pri.txt
248074,107,8720.11,8754.8,28.1_BLEO_1000_control_pri.txt
248075,108,10620.4,16049.9,28.1_BLEO_1000_control_pri.txt
248076,109,8725.12,8755.84,28.1_BLEO_1000_control_pri.txt
248077,110,2475.33,11287.2,28.1_BLEO_1000_control_pri.txt
248078,111,13916.0,17813.2,28.1_BLEO_1000_control_pri.txt
248079,112,6042.53,15628.1,28.1_BLEO_1000_control_pri.txt
248080,113,15270.7,16090.1,28.1_BLEO_1000_control_pri.txt
248081,114,1802.69,11346.1,28.1_BLEO_1000_control_pri.txt
248082,115,11293.3,10238.0,28.1_BLEO_1000_control_pri.txt
248083,116,15268.5,16081.4,28.1_BLEO_1000_control_pri.txt
248084,117,6043.89,15622.2,28.1_BLEO_1000_control_pri.txt
248085,118,10620.7,16037.5,28.1_BLEO_1000_control_pri.txt
248086,119,16673.7,5036.23,28.1_BLEO_1000_control_pri.txt
248087,120,6034.0,15623.4,28.1_BLEO_1000_control_pri.txt
248088,121,10625.7,16042.9,28.1_BLEO_1000_control_pri.txt
248089,122,15268.0,16091.5,28.1_BLEO_1000_control_pri.txt
248090,123,3205.54,17096.1,28.1_BLEO_1000_control_pri.txt
248091,124,16696.2,5041.02,28.1_BLEO_1000_control_pri.txt
248092,125,5827.37,9424.02,28.1_BLEO_1000_control_pri.txt
248093,126,10633.6,16037.3,28.1_BLEO_1000_control_pri.txt
248094,127,9522.68,5440.84,28.1_BLEO_1000_control_pri.txt
248095,128,21328.5,11737.0,28.1_BLEO_1000_control_pri.txt
248096,129,10632.3,16037.3,28.1_BLEO_1000_control_pri.txt
248097,130,10630.2,16040.9,28.1_BLEO_1000_control_pri.txt
248098,131,10617.8,16049.1,28.1_BLEO_1000_control_pri.txt
248099,132,6485.82,15790.0,28.1_BLEO_1000_control_pri.txt
248100,133,6468.79,15791.3,28.1_BLEO_1000_control_pri.txt
248101,134,17456.8,2692.97,28.1_BLEO_1000_control_pri.txt
248102,135,14310.0,1018.67,28.1_BLEO_1000_control_pri.txt
248103,136,9265.52,16317.7,28.1_BLEO_1000_control_pri.txt
248104,137,574.472,10207.9,28.1_BLEO_1000_control_pri.txt
248105,138,1105.39,16286.0,28.1_BLEO_1000_control_pri.txt
248106,139,7763.77,11168.3,28.1_BLEO_1000_control_pri.txt
248107,140,1090.68,16267.1,28.1_BLEO_1000_control_pri.txt
248108,141,14302.9,1013.32,28.1_BLEO_1000_control_pri.txt
248109,142,7784.14,11162.3,28.1_BLEO_1000_control_pri.txt
248110,143,13402.3,6993.91,28.1_BLEO_1000_control_pri.txt
248111,144,582.839,10217.4,28.1_BLEO_1000_control_pri.txt
248112,145,7789.82,11173.9,28.1_BLEO_1000_control_pri.txt
248113,146,1111.21,16285.0,28.1_BLEO_1000_control_pri.txt
248114,147,3876.17,9456.47,28.1_BLEO_1000_control_pri.txt
248115,148,12692.2,4136.69,28.1_BLEO_1000_control_pri.txt
248116,149,1107.53,16277.0,28.1_BLEO_1000_control_pri.txt
248117,150,12694.5,4125.96,28.1_BLEO_1000_control_pri.txt
248118,151,3479.25,9994.41,28.1_BLEO_1000_control_pri.txt
248119,152,1100.99,16274.1,28.1_BLEO_1000_control_pri.txt
248120,153,12684.9,4136.92,28.1_BLEO_1000_control_pri.txt
248121,154,3476.37,9990.23,28.1_BLEO_1000_control_pri.txt
248122,155,9855.14,17285.9,28.1_BLEO_1000_control_pri.txt
248123,156,2712.09,6497.1,28.1_BLEO_1000_control_pri.txt
248124,157,1089.22,16285.2,28.1_BLEO_1000_control_pri.txt
248125,158,10939.2,12445.5,28.1_BLEO_1000_control_pri.txt
248126,159,3482.87,9993.57,28.1_BLEO_1000_control_pri.txt
248127,160,2716.6,6483.69,28.1_BLEO_1000_control_pri.txt
248128,161,12690.7,4144.86,28.1_BLEO_1000_control_pri.txt
248129,162,1101.25,16275.9,28.1_BLEO_1000_control_pri.txt
248130,163,2712.89,6486.52,28.1_BLEO_1000_control_pri.txt
248131,164,6339.22,714.762,28.1_BLEO_1000_control_pri.txt
248132,165,3437.0,16899.1,28.1_BLEO_1000_control_pri.txt
248133,166,7125.71,3612.46,28.1_BLEO_1000_control_pri.txt
248134,167,2709.18,6500.37,28.1_BLEO_1000_control_pri.txt
248135,168,4326.24,315.202,28.1_BLEO_1000_control_pri.txt
248136,169,7107.9,3621.59,28.1_BLEO_1000_control_pri.txt
248137,170,7099.66,3602.55,28.1_BLEO_1000_control_pri.txt
248138,171,2705.93,6495.06,28.1_BLEO_1000_control_pri.txt
248139,172,2711.86,6488.21,28.1_BLEO_1000_control_pri.txt
248140,173,7115.94,3610.64,28.1_BLEO_1000_control_pri.txt
248141,174,2698.85,6484.99,28.1_BLEO_1000_control_pri.txt
248142,175,1738.0,1442.14,28.1_BLEO_1000_control_pri.txt
248143,176,7093.62,3613.06,28.1_BLEO_1000_control_pri.txt
248144,177,4930.07,17533.4,28.1_BLEO_1000_control_pri.txt
248145,178,17381.3,9002.71,28.1_BLEO_1000_control_pri.txt
248146,179,1728.83,1440.49,28.1_BLEO_1000_control_pri.txt
248147,180,4920.16,17551.8,28.1_BLEO_1000_control_pri.txt
248148,181,677.159,9214.23,28.1_BLEO_1000_control_pri.txt
248149,182,17380.1,9006.64,28.1_BLEO_1000_control_pri.txt
248150,183,9737.47,7835.19,28.1_BLEO_1000_control_pri.txt
248151,184,1871.69,10657.3,28.1_BLEO_1000_control_pri.txt
248152,185,1749.07,1436.06,28.1_BLEO_1000_control_pri.txt
248153,186,17374.2,9009.51,28.1_BLEO_1000_control_pri.txt
248154,187,1724.89,1447.8,28.1_BLEO_1000_control_pri.txt
248155,188,1890.9,10664.6,28.1_BLEO_1000_control_pri.txt
248156,189,1722.97,1444.21,28.1_BLEO_1000_control_pri.txt
248157,190,10232.3,13281.1,28.1_BLEO_1000_control_pri.txt
248158,191,1750.18,1446.87,28.1_BLEO_1000_control_pri.txt
248159,192,1748.42,1451.91,28.1_BLEO_1000_control_pri.txt
248160,193,1736.15,1458.77,28.1_BLEO_1000_control_pri.txt
248161,194,1740.94,1448.87,28.1_BLEO_1000_control_pri.txt
248162,195,15021.9,15478.3,28.1_BLEO_1000_control_pri.txt
248163,196,2192.98,8845.59,28.1_BLEO_1000_control_pri.txt
248164,197,15023.9,15471.2,28.1_BLEO_1000_control_pri.txt
248165,198,2203.97,8847.13,28.1_BLEO_1000_control_pri.txt
248166,199,9398.25,18494.3,28.1_BLEO_1000_control_pri.txt
248167,200,10687.8,10608.1,28.1_BLEO_1000_control_pri.txt
248168,201,10698.1,10620.2,28.1_BLEO_1000_control_pri.txt
248169,202,7057.77,6877.48,28.1_BLEO_1000_control_pri.txt
248170,203,15018.7,15467.5,28.1_BLEO_1000_control_pri.txt
248171,204,2198.85,8848.95,28.1_BLEO_1000_control_pri.txt
248172,205,14151.7,18413.4,28.1_BLEO_1000_control_pri.txt
248173,206,10699.8,10619.7,28.1_BLEO_1000_control_pri.txt
248174,207,15017.4,15468.5,28.1_BLEO_1000_control_pri.txt
248175,208,15142.8,10403.1,28.1_BLEO_1000_control_pri.txt
248176,209,14140.3,18404.5,28.1_BLEO_1000_control_pri.txt
248177,210,10696.9,10615.6,28.1_BLEO_1000_control_pri.txt
248178,211,15132.3,10398.5,28.1_BLEO_1000_control_pri.txt
248179,212,15021.0,15470.7,28.1_BLEO_1000_control_pri.txt
248180,213,21004.5,5315.64,28.1_BLEO_1000_control_pri.txt
248181,214,15026.0,15474.9,28.1_BLEO_1000_control_pri.txt
248182,215,11179.4,5226.53,28.1_BLEO_1000_control_pri.txt
248183,216,13918.2,17812.3,28.1_BLEO_1000_control_pri.txt
248184,217,15020.3,15465.4,28.1_BLEO_1000_control_pri.txt
248185,218,2272.17,13929.2,28.1_BLEO_1000_control_pri.txt
248186,219,15023.3,15476.1,28.1_BLEO_1000_control_pri.txt
248187,220,3839.79,9459.6,28.1_BLEO_1000_control_pri.txt
248188,221,15023.3,15473.8,28.1_BLEO_1000_control_pri.txt
248189,222,3862.26,9474.44,28.1_BLEO_1000_control_pri.txt
248190,223,19138.9,8359.16,28.1_BLEO_1000_control_pri.txt
248191,224,19135.4,8364.34,28.1_BLEO_1000_control_pri.txt
248192,225,3879.57,9454.44,28.1_BLEO_1000_control_pri.txt
248193,226,10815.3,5413.52,28.1_BLEO_1000_control_pri.txt
248194,227,10807.6,5418.45,28.1_BLEO_1000_control_pri.txt
248195,228,5233.86,7839.63,28.1_BLEO_1000_control_pri.txt
248196,229,2996.29,16951.4,28.1_BLEO_1000_control_pri.txt
248197,230,11082.0,6900.13,28.1_BLEO_1000_control_pri.txt
248198,231,4406.96,7015.75,28.1_BLEO_1000_control_pri.txt
248199,232,5452.94,7329.38,28.1_BLEO_1000_control_pri.txt
248200,233,884.472,9407.76,28.1_BLEO_1000_control_pri.txt
248201,234,858.588,9412.25,28.1_BLEO_1000_control_pri.txt
248202,235,875.122,9391.43,28.1_BLEO_1000_control_pri.txt
248203,236,8234.27,11769.5,28.1_BLEO_1000_control_pri.txt
248204,237,22569.5,10547.5,28.1_BLEO_1000_control_pri.txt
248205,238,22568.2,10577.3,28.1_BLEO_1000_control_pri.txt
248206,239,1519.06,16047.9,28.1_BLEO_1000_control_pri.txt
248207,240,22585.4,10564.4,28.1_BLEO_1000_control_pri.txt
248208,241,1498.11,16013.8,28.1_BLEO_1000_control_pri.txt
248209,242,22580.7,10560.9,28.1_BLEO_1000_control_pri.txt
248210,243,16734.9,9519.57,28.1_BLEO_1000_control_pri.txt
248211,244,1528.05,16067.8,28.1_BLEO_1000_control_pri.txt
248212,245,1512.49,16040.8,28.1_BLEO_1000_control_pri.txt
248213,246,5534.81,2585.05,28.1_BLEO_1000_control_pri.txt
248214,247,8079.75,13311.1,28.1_BLEO_1000_control_pri.txt
248215,248,5544.18,2575.58,28.1_BLEO_1000_control_pri.txt
248216,249,6088.64,7062.63,28.1_BLEO_1000_control_pri.txt
248217,250,2310.75,329.569,28.1_BLEO_1000_control_pri.txt
248218,251,7064.77,6879.98,28.1_BLEO_1000_control_pri.txt
248219,252,14429.8,1633.39,28.1_BLEO_1000_control_pri.txt
248220,253,20601.3,14490.0,28.1_BLEO_1000_control_pri.txt
248221,254,3945.19,9619.96,28.1_BLEO_1000_control_pri.txt
248222,255,20609.5,14498.7,28.1_BLEO_1000_control_pri.txt
248223,256,11881.0,2788.86,28.1_BLEO_1000_control_pri.txt
248224,257,9773.97,14150.7,28.1_BLEO_1000_control_pri.txt
248225,258,17349.3,13982.0,28.1_BLEO_1000_control_pri.txt
248226,259,9342.24,20627.7,28.1_BLEO_1000_control_pri.txt
248227,260,9337.72,20626.9,28.1_BLEO_1000_control_pri.txt
248228,261,10780.0,13305.2,28.1_BLEO_1000_control_pri.txt
248229,262,20837.2,13756.7,28.1_BLEO_1000_control_pri.txt
248230,263,4707.32,11304.3,28.1_BLEO_1000_control_pri.txt
248231,264,8545.41,12952.9,28.1_BLEO_1000_control_pri.txt
248232,265,6270.49,1274.22,28.1_BLEO_1000_control_pri.txt
248233,266,8561.09,12932.1,28.1_BLEO_1000_control_pri.txt
248234,267,17316.8,13964.5,28.1_BLEO_1000_control_pri.txt
248235,268,10435.2,17049.3,28.1_BLEO_1000_control_pri.txt
248236,269,6417.28,18193.6,28.1_BLEO_1000_control_pri.txt
248237,270,21694.2,10542.6,28.1_BLEO_1000_control_pri.txt
248238,271,6408.72,18194.3,28.1_BLEO_1000_control_pri.txt
248239,272,20105.2,12965.7,28.1_BLEO_1000_control_pri.txt
248240,273,6403.64,18181.3,28.1_BLEO_1000_control_pri.txt
248241,274,20091.1,12978.1,28.1_BLEO_1000_control_pri.txt
248242,275,10462.9,12517.7,28.1_BLEO_1000_control_pri.txt
248243,276,6418.77,18185.6,28.1_BLEO_1000_control_pri.txt
248244,277,20105.9,12980.0,28.1_BLEO_1000_control_pri.txt
248245,278,3138.43,8842.86,28.1_BLEO_1000_control_pri.txt
248246,279,13183.1,18382.0,28.1_BLEO_1000_control_pri.txt
248247,280,13092.9,9619.91,28.1_BLEO_1000_control_pri.txt
248248,281,13174.4,18376.6,28.1_BLEO_1000_control_pri.txt
248249,282,12338.9,1454.5,28.1_BLEO_1000_control_pri.txt
248250,283,348.462,9658.7,28.1_BLEO_1000_control_pri.txt
248251,284,4884.88,8079.91,28.1_BLEO_1000_control_pri.txt
248252,285,7686.75,3112.64,28.1_BLEO_1000_control_pri.txt
248253,286,344.242,9643.06,28.1_BLEO_1000_control_pri.txt
248254,287,7661.15,3093.57,28.1_BLEO_1000_control_pri.txt
248255,288,4028.72,1522.84,28.1_BLEO_1000_control_pri.txt
248256,289,23327.3,5941.88,28.1_BLEO_1000_control_pri.txt
248257,290,2649.52,7920.53,28.1_BLEO_1000_control_pri.txt
248258,291,5587.61,15348.0,28.1_BLEO_1000_control_pri.txt
248259,292,2653.2,7926.85,28.1_BLEO_1000_control_pri.txt
248260,293,7468.1,15123.0,28.1_BLEO_1000_control_pri.txt
248261,294,2651.04,7923.35,28.1_BLEO_1000_control_pri.txt
248262,295,5495.37,254.671,28.1_BLEO_1000_control_pri.txt
248263,296,10369.1,9418.55,28.1_BLEO_1000_control_pri.txt
248264,297,3563.71,1407.75,28.1_BLEO_1000_control_pri.txt
248265,298,1115.57,15357.5,28.1_BLEO_1000_control_pri.txt
248266,299,2646.65,7926.43,28.1_BLEO_1000_control_pri.txt
248267,300,5485.68,252.984,28.1_BLEO_1000_control_pri.txt
248268,301,1116.66,15345.1,28.1_BLEO_1000_control_pri.txt
248269,302,3572.95,1392.74,28.1_BLEO_1000_control_pri.txt
248270,303,2647.53,7928.83,28.1_BLEO_1000_control_pri.txt
248271,304,22753.5,10311.3,28.1_BLEO_1000_control_pri.txt
248272,305,5488.8,236.09,28.1_BLEO_1000_control_pri.txt
248273,306,4530.5,8981.49,28.1_BLEO_1000_control_pri.txt
248274,307,4520.31,8995.85,28.1_BLEO_1000_control_pri.txt
248275,308,2643.17,7924.18,28.1_BLEO_1000_control_pri.txt
248276,309,13975.1,4040.98,28.1_BLEO_1000_control_pri.txt
248277,310,5491.6,246.03,28.1_BLEO_1000_control_pri.txt
248278,311,19138.0,3675.82,28.1_BLEO_1000_control_pri.txt
248279,312,22768.1,10332.9,28.1_BLEO_1000_control_pri.txt
248280,313,5966.33,20039.7,28.1_BLEO_1000_control_pri.txt
248281,314,2646.36,7921.24,28.1_BLEO_1000_control_pri.txt
248282,315,13975.8,4044.74,28.1_BLEO_1000_control_pri.txt
248283,316,4514.71,8967.37,28.1_BLEO_1000_control_pri.txt
248284,317,5964.54,20026.4,28.1_BLEO_1000_control_pri.txt
248285,318,10469.5,8455.28,28.1_BLEO_1000_control_pri.txt
248286,319,5472.35,242.257,28.1_BLEO_1000_control_pri.txt
248287,320,9950.64,5666.95,28.1_BLEO_1000_control_pri.txt
248288,321,13964.1,4025.42,28.1_BLEO_1000_control_pri.txt
248289,322,5475.66,253.163,28.1_BLEO_1000_control_pri.txt
248290,323,7861.59,8177.84,28.1_BLEO_1000_control_pri.txt
248291,324,5490.93,254.941,28.1_BLEO_1000_control_pri.txt
248292,325,730.679,2068.39,28.1_BLEO_1000_control_pri.txt
248293,326,12355.0,7039.84,28.1_BLEO_1000_control_pri.txt
248294,327,11418.6,9266.66,28.1_BLEO_1000_control_pri.txt
248295,328,5477.07,246.516,28.1_BLEO_1000_control_pri.txt
248296,329,746.645,2059.4,28.1_BLEO_1000_control_pri.txt
248297,330,9389.85,12071.8,28.1_BLEO_1000_control_pri.txt
248298,331,12369.4,7042.81,28.1_BLEO_1000_control_pri.txt
248299,332,11415.2,9259.08,28.1_BLEO_1000_control_pri.txt
248300,333,7472.68,15117.4,28.1_BLEO_1000_control_pri.txt
248301,334,13976.5,1890.53,28.1_BLEO_1000_control_pri.txt
248302,335,9413.93,12038.1,28.1_BLEO_1000_control_pri.txt
248303,336,11411.3,9269.99,28.1_BLEO_1000_control_pri.txt
248304,337,12880.6,12503.4,28.1_BLEO_1000_control_pri.txt
248305,338,9483.65,13365.7,28.1_BLEO_1000_control_pri.txt
248306,339,5628.41,16408.9,28.1_BLEO_1000_control_pri.txt
248307,340,13911.8,17803.4,28.1_BLEO_1000_control_pri.txt
248308,341,7575.5,2155.46,28.1_BLEO_1000_control_pri.txt
248309,342,7597.54,2159.86,28.1_BLEO_1000_control_pri.txt
248310,343,5280.02,3331.98,28.1_BLEO_1000_control_pri.txt
248311,344,9427.2,12059.3,28.1_BLEO_1000_control_pri.txt
248312,345,9381.59,12061.6,28.1_BLEO_1000_control_pri.txt
248313,346,8430.67,8958.63,28.1_BLEO_1000_control_pri.txt
248314,347,13334.7,13095.8,28.1_BLEO_1000_control_pri.txt
248315,348,15572.8,13167.9,28.1_BLEO_1000_control_pri.txt
248316,349,910.783,13345.2,28.1_BLEO_1000_control_pri.txt
248317,350,13330.5,13111.5,28.1_BLEO_1000_control_pri.txt
248318,351,8008.96,12333.7,28.1_BLEO_1000_control_pri.txt
248319,352,8020.06,12332.0,28.1_BLEO_1000_control_pri.txt
248320,353,10717.3,8787.5,28.1_BLEO_1000_control_pri.txt
248321,354,17340.5,13984.7,28.1_BLEO_1000_control_pri.txt
248322,355,5305.42,9028.75,28.1_BLEO_1000_control_pri.txt
248323,356,9963.73,10087.2,28.1_BLEO_1000_control_pri.txt
248324,357,17349.0,13994.0,28.1_BLEO_1000_control_pri.txt
248325,358,7595.29,2141.9,28.1_BLEO_1000_control_pri.txt
248326,359,7596.99,2157.2,28.1_BLEO_1000_control_pri.txt
248327,360,5307.89,9044.32,28.1_BLEO_1000_control_pri.txt
248328,361,17342.3,13980.4,28.1_BLEO_1000_control_pri.txt
248329,362,7603.5,2175.73,28.1_BLEO_1000_control_pri.txt
248330,363,928.208,781.123,28.1_BLEO_1000_control_pri.txt
248331,364,128.445,11171.8,28.1_BLEO_1000_control_pri.txt
248332,365,7161.68,15119.8,28.1_BLEO_1000_control_pri.txt
248333,366,7540.29,19819.8,28.1_BLEO_1000_control_pri.txt
248334,367,957.388,761.413,28.1_BLEO_1000_control_pri.txt
248335,368,7156.25,15123.1,28.1_BLEO_1000_control_pri.txt
248336,369,119.43,11161.2,28.1_BLEO_1000_control_pri.txt
248337,370,17336.7,13961.5,28.1_BLEO_1000_control_pri.txt
248338,371,16983.7,7476.42,28.1_BLEO_1000_control_pri.txt
248339,372,1547.18,8281.28,28.1_BLEO_1000_control_pri.txt
248340,373,7160.29,15134.1,28.1_BLEO_1000_control_pri.txt
248341,374,16968.6,7471.27,28.1_BLEO_1000_control_pri.txt
248342,375,1528.89,8272.36,28.1_BLEO_1000_control_pri.txt
248343,376,382.023,13394.8,28.1_BLEO_1000_control_pri.txt
248344,377,14570.9,11226.8,28.1_BLEO_1000_control_pri.txt
248345,378,14581.1,11219.9,28.1_BLEO_1000_control_pri.txt
248346,379,1551.6,8271.85,28.1_BLEO_1000_control_pri.txt
248347,380,362.789,13405.2,28.1_BLEO_1000_control_pri.txt
248348,381,16668.6,17214.2,28.1_BLEO_1000_control_pri.txt
