,index,x,y,file
1089994,0,4679.2,12722.1,28.2_NU+VE_ST.txt
1089995,1,11603.3,10890.5,28.2_NU+VE_ST.txt
1089996,2,739.77,17362.9,28.2_NU+VE_ST.txt
1089997,3,5024.97,18230.7,28.2_NU+VE_ST.txt
1089998,4,6737.13,18821.0,28.2_NU+VE_ST.txt
1089999,5,10839.1,14223.5,28.2_NU+VE_ST.txt
1090000,6,5963.1,9232.65,28.2_NU+VE_ST.txt
1090001,7,11971.1,7773.88,28.2_NU+VE_ST.txt
1090002,8,9547.54,11280.1,28.2_NU+VE_ST.txt
1090003,9,5049.23,8599.78,28.2_NU+VE_ST.txt
1090004,10,756.762,17366.0,28.2_NU+VE_ST.txt
1090005,11,11954.8,7765.41,28.2_NU+VE_ST.txt
1090006,12,10700.7,6250.89,28.2_NU+VE_ST.txt
1090007,13,10121.4,5118.29,28.2_NU+VE_ST.txt
1090008,14,9354.87,14284.6,28.2_NU+VE_ST.txt
1090009,15,12034.3,14121.2,28.2_NU+VE_ST.txt
1090010,16,757.081,17363.2,28.2_NU+VE_ST.txt
1090011,17,10693.6,6259.81,28.2_NU+VE_ST.txt
1090012,18,740.634,17362.9,28.2_NU+VE_ST.txt
1090013,19,9342.99,14291.5,28.2_NU+VE_ST.txt
1090014,20,8421.18,10939.5,28.2_NU+VE_ST.txt
1090015,21,10692.1,6255.06,28.2_NU+VE_ST.txt
1090016,22,6575.88,10142.1,28.2_NU+VE_ST.txt
1090017,23,5610.01,9703.26,28.2_NU+VE_ST.txt
1090018,24,6001.8,7654.58,28.2_NU+VE_ST.txt
1090019,25,10960.4,4612.02,28.2_NU+VE_ST.txt
1090020,26,5949.53,6581.89,28.2_NU+VE_ST.txt
1090021,27,10851.5,14233.5,28.2_NU+VE_ST.txt
1090022,28,9615.28,13153.8,28.2_NU+VE_ST.txt
1090023,29,4392.1,15490.9,28.2_NU+VE_ST.txt
1090024,30,6271.11,10049.7,28.2_NU+VE_ST.txt
1090025,31,6650.15,14553.2,28.2_NU+VE_ST.txt
1090026,32,11578.5,7816.22,28.2_NU+VE_ST.txt
1090027,33,6753.44,8839.01,28.2_NU+VE_ST.txt
1090028,34,10959.2,4583.88,28.2_NU+VE_ST.txt
1090029,35,4826.8,16491.2,28.2_NU+VE_ST.txt
1090030,36,6657.45,14554.4,28.2_NU+VE_ST.txt
1090031,37,11576.7,7813.61,28.2_NU+VE_ST.txt
1090032,38,13064.5,10461.4,28.2_NU+VE_ST.txt
1090033,39,4828.82,16484.3,28.2_NU+VE_ST.txt
1090034,40,4492.87,15440.2,28.2_NU+VE_ST.txt
1090035,41,6891.83,7925.54,28.2_NU+VE_ST.txt
1090036,42,11038.2,18181.3,28.2_NU+VE_ST.txt
1090037,43,4752.53,12460.3,28.2_NU+VE_ST.txt
1090038,44,8163.92,15807.9,28.2_NU+VE_ST.txt
1090039,45,11567.6,7818.11,28.2_NU+VE_ST.txt
1090040,46,7911.9,12343.5,28.2_NU+VE_ST.txt
1090041,47,6480.24,9932.49,28.2_NU+VE_ST.txt
1090042,48,10358.0,5424.8,28.2_NU+VE_ST.txt
1090043,49,722.422,17386.4,28.2_NU+VE_ST.txt
1090044,50,6100.03,18471.2,28.2_NU+VE_ST.txt
1090045,51,6329.23,6365.35,28.2_NU+VE_ST.txt
1090046,52,5020.37,12611.6,28.2_NU+VE_ST.txt
1090047,53,6487.81,9924.0,28.2_NU+VE_ST.txt
1090048,54,5022.31,12600.7,28.2_NU+VE_ST.txt
1090049,55,6329.53,6370.31,28.2_NU+VE_ST.txt
1090050,56,6945.81,7560.01,28.2_NU+VE_ST.txt
1090051,57,6357.51,6362.26,28.2_NU+VE_ST.txt
1090052,58,755.354,17379.9,28.2_NU+VE_ST.txt
1090053,59,9844.71,13171.3,28.2_NU+VE_ST.txt
1090054,60,6534.14,16848.8,28.2_NU+VE_ST.txt
1090055,61,10681.9,11674.9,28.2_NU+VE_ST.txt
1090056,62,10185.1,8659.11,28.2_NU+VE_ST.txt
1090057,63,6525.19,16853.8,28.2_NU+VE_ST.txt
1090058,64,5957.54,17375.1,28.2_NU+VE_ST.txt
1090059,65,4546.43,14505.1,28.2_NU+VE_ST.txt
1090060,66,9678.48,13191.2,28.2_NU+VE_ST.txt
1090061,67,10987.9,5153.57,28.2_NU+VE_ST.txt
1090062,68,4159.18,15058.1,28.2_NU+VE_ST.txt
1090063,69,9653.01,13137.2,28.2_NU+VE_ST.txt
1090064,70,10982.4,5209.33,28.2_NU+VE_ST.txt
1090065,71,18913.9,4164.95,28.2_NU+VE_ST.txt
1090066,72,10997.0,11700.3,28.2_NU+VE_ST.txt
1090067,73,6746.97,18882.8,28.2_NU+VE_ST.txt
1090068,74,6213.26,7468.65,28.2_NU+VE_ST.txt
1090069,75,12580.3,10858.6,28.2_NU+VE_ST.txt
1090070,76,4158.63,15061.3,28.2_NU+VE_ST.txt
1090071,77,6706.93,4070.4,28.2_NU+VE_ST.txt
1090072,78,11008.8,11683.7,28.2_NU+VE_ST.txt
1090073,79,8118.22,5149.39,28.2_NU+VE_ST.txt
1090074,80,13264.0,9306.59,28.2_NU+VE_ST.txt
1090075,81,10884.2,18099.3,28.2_NU+VE_ST.txt
1090076,82,6760.5,18874.0,28.2_NU+VE_ST.txt
1090077,83,6218.68,7469.96,28.2_NU+VE_ST.txt
1090078,84,11999.4,11452.1,28.2_NU+VE_ST.txt
1090079,85,6746.96,18879.4,28.2_NU+VE_ST.txt
1090080,86,13262.3,9304.03,28.2_NU+VE_ST.txt
1090081,87,6950.35,7561.09,28.2_NU+VE_ST.txt
1090082,88,10269.9,19042.8,28.2_NU+VE_ST.txt
1090083,89,10893.7,18103.6,28.2_NU+VE_ST.txt
1090084,90,6577.64,9876.91,28.2_NU+VE_ST.txt
1090085,91,5954.2,18469.2,28.2_NU+VE_ST.txt
1090086,92,6755.9,18885.2,28.2_NU+VE_ST.txt
1090087,93,13264.1,9300.75,28.2_NU+VE_ST.txt
1090088,94,9976.32,8718.92,28.2_NU+VE_ST.txt
1090089,95,6717.21,4079.5,28.2_NU+VE_ST.txt
1090090,96,6564.53,9869.13,28.2_NU+VE_ST.txt
1090091,97,5961.64,18468.0,28.2_NU+VE_ST.txt
1090092,98,9568.88,8784.18,28.2_NU+VE_ST.txt
1090093,99,13271.8,9310.06,28.2_NU+VE_ST.txt
1090094,100,9927.16,12105.8,28.2_NU+VE_ST.txt
1090095,101,7923.04,14542.1,28.2_NU+VE_ST.txt
1090096,102,18618.6,13616.8,28.2_NU+VE_ST.txt
1090097,103,6723.1,4049.25,28.2_NU+VE_ST.txt
1090098,104,744.505,17367.7,28.2_NU+VE_ST.txt
1090099,105,5960.63,18471.5,28.2_NU+VE_ST.txt
1090100,106,736.476,17377.2,28.2_NU+VE_ST.txt
1090101,107,12191.6,7368.66,28.2_NU+VE_ST.txt
1090102,108,11926.2,11098.0,28.2_NU+VE_ST.txt
1090103,109,10299.5,4692.6,28.2_NU+VE_ST.txt
1090104,110,5958.57,18466.3,28.2_NU+VE_ST.txt
1090105,111,11932.5,11094.8,28.2_NU+VE_ST.txt
1090106,112,9371.64,14518.0,28.2_NU+VE_ST.txt
1090107,113,746.67,17380.1,28.2_NU+VE_ST.txt
1090108,114,10456.3,13735.3,28.2_NU+VE_ST.txt
1090109,115,747.153,17389.7,28.2_NU+VE_ST.txt
1090110,116,11110.7,9418.22,28.2_NU+VE_ST.txt
1090111,117,11940.4,11089.6,28.2_NU+VE_ST.txt
1090112,118,7782.56,11830.2,28.2_NU+VE_ST.txt
1090113,119,10874.6,18022.5,28.2_NU+VE_ST.txt
1090114,120,6378.71,6344.94,28.2_NU+VE_ST.txt
1090115,121,6454.86,17841.9,28.2_NU+VE_ST.txt
1090116,122,6283.38,10248.1,28.2_NU+VE_ST.txt
1090117,123,18544.1,13500.3,28.2_NU+VE_ST.txt
1090118,124,756.075,17365.3,28.2_NU+VE_ST.txt
1090119,125,11103.2,9413.38,28.2_NU+VE_ST.txt
1090120,126,8606.02,16318.3,28.2_NU+VE_ST.txt
1090121,127,5030.7,18227.9,28.2_NU+VE_ST.txt
1090122,128,10453.6,13733.8,28.2_NU+VE_ST.txt
1090123,129,18406.9,3160.82,28.2_NU+VE_ST.txt
1090124,130,6696.09,4070.09,28.2_NU+VE_ST.txt
1090125,131,5023.82,18229.2,28.2_NU+VE_ST.txt
1090126,132,10358.7,4950.62,28.2_NU+VE_ST.txt
1090127,133,11098.6,9400.45,28.2_NU+VE_ST.txt
1090128,134,6402.4,17834.4,28.2_NU+VE_ST.txt
1090129,135,4977.13,14622.9,28.2_NU+VE_ST.txt
1090130,136,7653.15,4795.6,28.2_NU+VE_ST.txt
1090131,137,12045.8,15517.8,28.2_NU+VE_ST.txt
1090132,138,10513.1,11229.3,28.2_NU+VE_ST.txt
1090133,139,6403.78,17848.6,28.2_NU+VE_ST.txt
1090134,140,5021.37,18228.9,28.2_NU+VE_ST.txt
1090135,141,8616.05,16327.1,28.2_NU+VE_ST.txt
1090136,142,7878.54,10633.3,28.2_NU+VE_ST.txt
1090137,143,10931.2,6131.69,28.2_NU+VE_ST.txt
1090138,144,6408.79,17837.0,28.2_NU+VE_ST.txt
1090139,145,5023.31,18218.1,28.2_NU+VE_ST.txt
1090140,146,8189.95,12815.5,28.2_NU+VE_ST.txt
1090141,147,5523.67,8920.46,28.2_NU+VE_ST.txt
1090142,148,7060.98,7748.87,28.2_NU+VE_ST.txt
1090143,149,9392.5,4316.87,28.2_NU+VE_ST.txt
