,index,x,y,file
1910419,0,5336.09,14660.0,30_1_BLEO_ST_1.txt
1910420,1,11419.7,10997.8,30_1_BLEO_ST_1.txt
1910421,2,3892.39,12234.8,30_1_BLEO_ST_1.txt
1910422,3,5428.05,5498.09,30_1_BLEO_ST_1.txt
1910423,4,4237.18,6859.34,30_1_BLEO_ST_1.txt
1910424,5,11392.7,10978.8,30_1_BLEO_ST_1.txt
1910425,6,3891.1,12235.0,30_1_BLEO_ST_1.txt
1910426,7,3958.08,11122.5,30_1_BLEO_ST_1.txt
1910427,8,12809.1,10067.2,30_1_BLEO_ST_1.txt
1910428,9,3902.92,12244.9,30_1_BLEO_ST_1.txt
1910429,10,7446.99,5086.81,30_1_BLEO_ST_1.txt
1910430,11,15957.5,9075.3,30_1_BLEO_ST_1.txt
1910431,12,5386.44,5742.86,30_1_BLEO_ST_1.txt
1910432,13,15959.4,9072.37,30_1_BLEO_ST_1.txt
1910433,14,15948.9,9085.69,30_1_BLEO_ST_1.txt
1910434,15,4406.52,13479.5,30_1_BLEO_ST_1.txt
1910435,16,11536.3,5534.65,30_1_BLEO_ST_1.txt
1910436,17,8286.46,7129.67,30_1_BLEO_ST_1.txt
1910437,18,4711.55,12055.3,30_1_BLEO_ST_1.txt
1910438,19,10974.8,6323.1,30_1_BLEO_ST_1.txt
1910439,20,15974.3,9078.34,30_1_BLEO_ST_1.txt
1910440,21,4716.85,12061.5,30_1_BLEO_ST_1.txt
1910441,22,3789.44,7594.02,30_1_BLEO_ST_1.txt
1910442,23,10951.8,6319.21,30_1_BLEO_ST_1.txt
1910443,24,8627.22,7564.77,30_1_BLEO_ST_1.txt
1910444,25,8631.76,7556.96,30_1_BLEO_ST_1.txt
1910445,26,12755.4,8936.69,30_1_BLEO_ST_1.txt
1910446,27,5700.4,4614.25,30_1_BLEO_ST_1.txt
1910447,28,12764.2,8934.89,30_1_BLEO_ST_1.txt
1910448,29,7405.09,7843.58,30_1_BLEO_ST_1.txt
1910449,30,5694.47,4621.82,30_1_BLEO_ST_1.txt
1910450,31,227.406,3594.71,30_1_BLEO_ST_1.txt
1910451,32,5700.39,4626.49,30_1_BLEO_ST_1.txt
1910452,33,8536.37,7210.99,30_1_BLEO_ST_1.txt
1910453,34,243.337,3609.65,30_1_BLEO_ST_1.txt
1910454,35,6563.27,10701.1,30_1_BLEO_ST_1.txt
1910455,36,5683.24,4627.19,30_1_BLEO_ST_1.txt
1910456,37,0.0199796,1587.05,30_1_BLEO_ST_1.txt
1910457,38,5697.02,4631.24,30_1_BLEO_ST_1.txt
1910458,39,2886.79,10560.3,30_1_BLEO_ST_1.txt
1910459,40,2886.5,10558.6,30_1_BLEO_ST_1.txt
1910460,41,5694.42,4621.81,30_1_BLEO_ST_1.txt
1910461,42,2767.53,8290.05,30_1_BLEO_ST_1.txt
1910462,43,10493.3,9388.13,30_1_BLEO_ST_1.txt
1910463,44,12933.1,6640.26,30_1_BLEO_ST_1.txt
1910464,45,6478.72,14297.9,30_1_BLEO_ST_1.txt
1910465,46,5951.5,4421.18,30_1_BLEO_ST_1.txt
1910466,47,5398.51,5524.39,30_1_BLEO_ST_1.txt
1910467,48,60.459,4015.5,30_1_BLEO_ST_1.txt
1910468,49,10521.5,9360.03,30_1_BLEO_ST_1.txt
1910469,50,0.0320627,4013.53,30_1_BLEO_ST_1.txt
1910470,51,12927.4,6648.47,30_1_BLEO_ST_1.txt
1910471,52,13103.2,10474.9,30_1_BLEO_ST_1.txt
1910472,53,520.871,4745.57,30_1_BLEO_ST_1.txt
1910473,54,5359.44,5535.71,30_1_BLEO_ST_1.txt
1910474,55,6744.21,14813.8,30_1_BLEO_ST_1.txt
1910475,56,9701.73,6550.38,30_1_BLEO_ST_1.txt
1910476,57,6187.47,6446.0,30_1_BLEO_ST_1.txt
1910477,58,5340.65,5540.52,30_1_BLEO_ST_1.txt
1910478,59,6715.18,14822.9,30_1_BLEO_ST_1.txt
