,index,x,y,file
2151127,0,0.506017,2579.94,30_1_control_pri_ST_1.txt
2151128,1,15464.7,7229.85,30_1_control_pri_ST_1.txt
2151129,2,15477.2,7230.04,30_1_control_pri_ST_1.txt
2151130,3,9032.8,1257.7,30_1_control_pri_ST_1.txt
2151131,4,12656.7,2242.77,30_1_control_pri_ST_1.txt
2151132,5,17373.1,7902.75,30_1_control_pri_ST_1.txt
2151133,6,17375.1,7904.73,30_1_control_pri_ST_1.txt
2151134,7,17376.0,7908.04,30_1_control_pri_ST_1.txt
2151135,8,7404.48,6341.78,30_1_control_pri_ST_1.txt
2151136,9,7387.74,6308.65,30_1_control_pri_ST_1.txt
2151137,10,18914.0,3277.75,30_1_control_pri_ST_1.txt
2151138,11,18922.3,3299.48,30_1_control_pri_ST_1.txt
2151139,12,18931.2,3299.93,30_1_control_pri_ST_1.txt
2151140,13,13800.6,11344.5,30_1_control_pri_ST_1.txt
2151141,14,14674.5,9760.61,30_1_control_pri_ST_1.txt
2151142,15,14687.3,9759.09,30_1_control_pri_ST_1.txt
2151143,16,14682.1,9755.82,30_1_control_pri_ST_1.txt
2151144,17,14679.7,9750.58,30_1_control_pri_ST_1.txt
2151145,18,17380.6,7901.81,30_1_control_pri_ST_1.txt
2151146,19,13790.8,11342.8,30_1_control_pri_ST_1.txt
2151147,20,8381.03,9457.3,30_1_control_pri_ST_1.txt
2151148,21,8379.71,9454.81,30_1_control_pri_ST_1.txt
2151149,22,11804.1,4430.06,30_1_control_pri_ST_1.txt
2151150,23,8379.46,9455.56,30_1_control_pri_ST_1.txt
2151151,24,12660.6,2221.12,30_1_control_pri_ST_1.txt
2151152,25,5525.34,10824.5,30_1_control_pri_ST_1.txt
2151153,26,5507.51,10826.8,30_1_control_pri_ST_1.txt
2151154,27,18928.4,3286.92,30_1_control_pri_ST_1.txt
2151155,28,12754.4,4489.27,30_1_control_pri_ST_1.txt
2151156,29,16915.2,2757.16,30_1_control_pri_ST_1.txt
2151157,30,9908.22,9524.36,30_1_control_pri_ST_1.txt
2151158,31,7789.89,11160.5,30_1_control_pri_ST_1.txt
2151159,32,7784.02,11152.3,30_1_control_pri_ST_1.txt
2151160,33,7790.57,11165.0,30_1_control_pri_ST_1.txt
2151161,34,6690.57,10816.4,30_1_control_pri_ST_1.txt
2151162,35,11500.8,231.657,30_1_control_pri_ST_1.txt
2151163,36,859.945,525.935,30_1_control_pri_ST_1.txt
2151164,37,850.323,516.795,30_1_control_pri_ST_1.txt
2151165,38,11687.1,5447.32,30_1_control_pri_ST_1.txt
2151166,39,9807.68,527.124,30_1_control_pri_ST_1.txt
2151167,40,5128.64,13243.4,30_1_control_pri_ST_1.txt
2151168,41,3761.72,14214.7,30_1_control_pri_ST_1.txt
2151169,42,3704.79,14218.7,30_1_control_pri_ST_1.txt
2151170,43,10332.7,11070.6,30_1_control_pri_ST_1.txt
2151171,44,14733.5,7230.76,30_1_control_pri_ST_1.txt
2151172,45,14737.6,7223.88,30_1_control_pri_ST_1.txt
2151173,46,14741.2,7217.14,30_1_control_pri_ST_1.txt
2151174,47,3791.36,14213.5,30_1_control_pri_ST_1.txt
2151175,48,17379.7,7896.52,30_1_control_pri_ST_1.txt
2151176,49,2877.26,1958.88,30_1_control_pri_ST_1.txt
2151177,50,10174.2,10100.2,30_1_control_pri_ST_1.txt
2151178,51,10171.0,10104.9,30_1_control_pri_ST_1.txt
2151179,52,10181.8,10101.4,30_1_control_pri_ST_1.txt
2151180,53,10176.3,10078.5,30_1_control_pri_ST_1.txt
2151181,54,6461.45,10772.9,30_1_control_pri_ST_1.txt
2151182,55,14702.9,4579.65,30_1_control_pri_ST_1.txt
2151183,56,11264.0,4507.93,30_1_control_pri_ST_1.txt
2151184,57,11279.1,4512.41,30_1_control_pri_ST_1.txt
2151185,58,11597.7,12590.1,30_1_control_pri_ST_1.txt
2151186,59,14130.1,9060.63,30_1_control_pri_ST_1.txt
2151187,60,7196.12,5058.92,30_1_control_pri_ST_1.txt
2151188,61,7213.01,5068.75,30_1_control_pri_ST_1.txt
2151189,62,15905.7,1184.63,30_1_control_pri_ST_1.txt
2151190,63,15943.0,1182.86,30_1_control_pri_ST_1.txt
2151191,64,15958.4,1170.47,30_1_control_pri_ST_1.txt
2151192,65,15942.8,1164.44,30_1_control_pri_ST_1.txt
2151193,66,15950.4,1170.17,30_1_control_pri_ST_1.txt
2151194,67,15965.9,1160.7,30_1_control_pri_ST_1.txt
2151195,68,15937.5,1168.16,30_1_control_pri_ST_1.txt
2151196,69,15963.1,1192.24,30_1_control_pri_ST_1.txt
2151197,70,8611.18,6352.44,30_1_control_pri_ST_1.txt
